Beta1,Solidity,ID,LER/Chord,TER/Chord,Tmax/C,65_Camber,Dum,MCL B1*-AlphaChord,Camber_MCL,LE_Wedge_Angle,TE_Wedge_Angle,O_q_Tau,TE_O_q_Min_O,Attack_Angle,Turning,Ave_Min_Loss
0,0.001,65-006,0.24%,0.01%,0.06,0,,0,0,13.4,9.1,1,1,-4,0,0.009
0,0.001,65-009,0.55%,0.01%,0.09,0,,0,0,20.4,14,1,1,-5.5,0,0.009
0,0.001,65-206,0.24%,0.01%,0.06,2,,2.3,4.7,13.4,9.1,1,1,-4.5,0,0.009
0,0.001,65-209,0.55%,0.01%,0.09,2,,2.3,4.7,20.4,14,1,1,-5,0,0.009
0,0.001,65-410,0.67%,0.01%,0.1,4,,4.6,9.5,22.8,15.6,1,1,-5,0,0.009
0,0.001,65-012,1.00%,0.01%,0.12,0,,0,0,27.2,18.7,1,1,-5.5,0,0.009
0,0.001,65-212,1.00%,0.01%,0.12,2,,2.3,4.7,27.2,18.7,1,1,-5.5,0,0.01
0,0.001,65-412,1.00%,0.01%,0.12,4,,4.6,9.5,27.2,18.7,1,1,-6,0,0.01
0,0.001,65-015,1.51%,0.01%,0.15,0,,0,0,33.8,22.7,1,1,-6.5,0,0.01
0,0.001,65-215,1.51%,0.01%,0.15,2,,2.3,4.7,33.8,22.7,1,1,-6.5,0,0.01
0,0.001,65-415,1.51%,0.01%,0.15,4,,4.6,9.5,33.8,22.7,1,1,-6.5,0,0.01
